datasets|graphs|num-agents|attacker-num|malicious_auditor_num|num-auditors|type_one_attack|type_two_attack|both_attacks|reg-turn|sample-id|threads|model
all|all|6|0|0|0|0|0|0|default|default|default|gpt-4o-mini
all|all|6|1|0|0|1|0|0|default|default|default|gpt-4o-mini
all|all|8|1|0|2|1|0|0|default|default|default|gpt-4o-mini
all|all|10|0|0|0|0|0|0|default|default|default|gpt-4o-mini
all|all|12|1|0|2|1|0|0|default|default|default|gpt-4o-mini
all|all|12|3|0|2|1|0|0|default|default|default|gpt-4o-mini
all|all|20|0|0|0|0|0|0|default|default|default|gpt-4o-mini
all|all|22|2|0|2|1|0|0|default|default|default|gpt-4o-mini
all|all|22|5|0|2|1|0|0|default|default|default|gpt-4o-mini
all|all|40|0|0|0|0|0|0|default|default|default|gpt-4o-mini
all|all|42|4|0|2|1|0|0|default|default|default|gpt-4o-mini
all|all|42|8|0|2|1|0|0|default|default|default|gpt-4o-mini
all|all|16|1|2|10|0|0|1|default|default|default|gpt-4o-mini
all|all|8|1|2|2|0|0|1|default|default|default|gpt-4o-mini
csqa|all|8|1|0|2|1|0|0|default|default|default|gpt-3.5-turbo
csqa|all|6|0|0|0|0|0|0|default|default|default|gpt-3.5-turbo
csqa|all|6|1|0|0|1|0|0|default|default|default|gpt-3.5-turbo
csqa|all|8|1|0|2|1|0|0|default|default|default|deepseek-v3
csqa|all|6|0|0|0|0|0|0|default|default|default|deepseek-v3
csqa|all|6|1|0|0|1|0|0|default|default|default|deepseek-v3
csqa|all|8|1|0|2|1|0|0|default|default|default|qwen
csqa|all|6|0|0|0|0|0|0|default|default|default|qwen
csqa|all|6|1|0|0|1|0|0|default|default|default|qwen
csqa|all|16|0|0|10|0|0|0|default|default|default|gpt-4o-mini
csqa|all|16|1|0|10|0|0|0|default|default|default|gpt-4o-mini
csqa|all|6|0|0|0|0|0|0|default|default|default|gpt-4o-mini
